MPC ID,Event Time,Instruments,Linked Events Activity ID
2010-12-28T14:00:00-MPC-001,2010-12-28T14:00Z,MODEL: SWMF,2010-12-23T05:24:00-CME-001
2011-08-05T19:20:00-MPC-001,2011-08-05T19:20Z,MODEL: SWMF;,2011-08-03T13:55:00-CME-001;2011-08-04T04:10:00-CME-001;2011-08-05T20:57:00-GST-001;
2011-09-26T13:00:00-MPC-001,2011-09-26T13:00Z,MODEL: SWMF;,2011-09-24T13:09:00-CME-001;2011-09-26T16:44:00-GST-001;
2011-10-12T19:06:00-MPC-001,2011-10-12T19:06Z,MODEL: SWMF,None
2012-01-22T05:50:00-MPC-001,2012-01-22T05:50Z,MODEL: SWMF,2012-01-19T15:10:00-CME-001
2012-03-12T10:00:00-MPC-001,2012-03-12T10:00Z,MODEL: SWMF;,2012-03-10T16:24:00-CME-001;2012-03-10T18:09:00-CME-001;2012-03-12T10:30:00-GST-001;
2012-06-16T21:20:00-MPC-001,2012-06-16T21:20Z,MODEL: SWMF;,2012-06-13T14:00:00-CME-001;2012-06-14T14:09:00-CME-001;2012-06-16T21:00:00-GST-001;
2012-07-15T08:11:00-MPC-001,2012-07-15T08:11Z,MODEL: SWMF;,2012-07-12T16:54:00-CME-001;2012-07-14T17:26:00-IPS-001;2012-07-15T06:00:00-GST-001;
2012-10-08T05:00:00-MPC-001,2012-10-08T05:00Z,MODEL: SWMF;,2012-10-05T03:24:00-CME-001;2012-10-08T04:30:00-IPS-001;2012-10-08T07:30:00-GST-001;
2013-10-02T02:47:00-MPC-001,2013-10-02T02:47Z,MODEL: SWMF;,2013-09-29T22:40:00-CME-001;2013-10-02T01:54:00-IPS-001;2013-10-02T03:00:00-GST-001;
2013-10-08T21:53:00-MPC-001,2013-10-08T21:53Z,MODEL: SWMF,2013-10-08T20:20:00-IPS-001
2013-12-08T02:44:00-MPC-001,2013-12-08T02:44Z,MODEL: SWMF;,2013-12-04T23:12:00-CME-001;2013-12-07T21:30:00-HSS-001;
2014-02-20T05:14:00-MPC-001,2014-02-20T05:14Z,MODEL: SWMF,2014-02-20T03:00:00-GST-001
2014-06-08T05:08:00-MPC-001,2014-06-08T05:08Z,MODEL: SWMF;,2014-06-04T13:25:00-CME-001;2014-06-07T16:09:00-IPS-001;2014-06-08T03:00:00-GST-001;
2014-12-22T01:57:00-MPC-001,2014-12-22T01:57Z,MODEL: SWMF;,2014-12-19T00:27:00-CME-001;2014-12-21T18:22:00-IPS-001;
2015-01-07T08:40:00-MPC-001,2015-01-07T08:40Z,MODEL: SWMF;,2015-01-07T05:24:00-IPS-001;2015-01-07T06:00:00-GST-001;
2015-03-17T06:23:00-MPC-001,2015-03-17T06:23Z,MODEL: SWMF;,2015-03-15T02:00:00-CME-001;2015-03-17T04:05:00-IPS-001;
2015-06-10T13:09:00-MPC-001,2015-06-10T13:09Z,MODEL: SWMF,2015-06-08T00:16:00-HSS-001
2015-06-22T18:49:00-MPC-001,2015-06-22T18:49Z,MODEL: SWMF;,2015-06-21T02:48:00-CME-001;2015-06-22T17:59:00-IPS-001;
2015-07-04T20:20:00-MPC-001,2015-07-04T20:20Z,MODEL: SWMF;,2015-07-04T11:58:00-IPS-001;2015-07-04T11:59:00-HSS-001;2015-07-04T13:00:00-GST-001;
2015-08-15T11:03:00-MPC-001,2015-08-15T11:03Z,MODEL: SWMF;,2015-08-12T15:12:00-CME-001;2015-08-13T00:30:00-CME-001;2015-08-15T07:43:00-IPS-001;2015-08-15T09:00:00-GST-001;
2015-11-03T06:13:00-MPC-001,2015-11-03T06:13Z,MODEL: SWMF,2015-11-03T05:29:00-HSS-001
none,2015-12-20T00:04Z,MODEL: SWMF,None
2015-12-20T00:04:00-MPC-001,2015-12-20T00:04Z,MODEL: SWMF;,2015-12-16T09:36:00-CME-001;2015-12-16T14:48:00-CME-001;2015-12-19T15:27:00-IPS-001;2015-12-20T03:00:00-GST-001;
2015-12-20T21:48:00-MPC-001,2015-12-20T21:48Z,MODEL: SWMF,None
2015-12-31T23:52:00-MPC-001,2015-12-31T23:52Z,MODEL: SWMF;,2015-12-28T12:39:00-CME-001;2015-12-31T00:02:00-IPS-001;2015-12-31T13:30:00-GST-001;
2016-03-06T16:32:00-MPC-001,2016-03-06T16:32Z,MODEL: SWMF;,2016-03-06T04:30:00-IPS-001;2016-03-06T09:00:00-HSS-001;2016-03-06T18:00:00-GST-001;
2016-03-11T13:00:00-MPC-001,2016-03-11T13:00Z,MODEL: SWMF;,2016-03-11T04:21:00-IPS-001;2016-03-11T12:00:00-GST-001;
2016-06-05T09:23:00-MPC-001,2016-06-05T09:23Z,MODEL: SWMF,None
2016-06-05T13:59:00-MPC-001,2016-06-05T13:59Z,MODEL: SWMF,2016-06-04T23:00:00-HSS-001
2016-07-20T00:46:00-MPC-001,2016-07-20T00:46Z,MODEL: SWMF,2016-07-19T23:05:00-IPS-001
